timestamp,city,temperature,description
2026-03-25T12:43:50.414Z,Cardiff,8.29,few clouds
2026-03-25T14:52:42.353Z,Cardiff,9.34,moderate rain
2026-03-25T16:54:19.093Z,Cardiff,7.16,few clouds
2026-03-25T18:43:21.964Z,Cardiff,6.54,heavy intensity rain
2026-03-25T20:29:22.762Z,Cardiff,4.24,scattered clouds
2026-03-25T22:26:10.150Z,Cardiff,4.65,few clouds
2026-03-26T01:21:50.344Z,Cardiff,4.92,overcast clouds
2026-03-26T04:25:18.195Z,Cardiff,3.74,overcast clouds
2026-03-26T06:57:48.728Z,Cardiff,4.09,overcast clouds
2026-03-26T08:43:24.267Z,Cardiff,7.06,broken clouds
2026-03-26T10:43:38.680Z,Cardiff,8.82,broken clouds
2026-03-26T12:52:04.667Z,Cardiff,10.73,scattered clouds
2026-03-26T14:56:52.587Z,Cardiff,10.57,broken clouds
2026-03-26T16:53:06.209Z,Cardiff,10.16,overcast clouds
2026-03-26T18:53:14.163Z,Cardiff,8.45,overcast clouds
2026-03-26T20:27:33.798Z,Cardiff,8.05,overcast clouds
2026-03-26T22:18:49.421Z,Cardiff,7.94,broken clouds
2026-03-27T01:21:36.395Z,Cardiff,7.79,overcast clouds
2026-03-27T04:26:32.911Z,Cardiff,7.9,overcast clouds
2026-03-27T06:56:42.290Z,Cardiff,9.82,overcast clouds
2026-03-27T08:40:17.995Z,Cardiff,10.32,light rain
2026-03-27T10:38:48.349Z,Cardiff,10.85,overcast clouds
2026-03-27T12:40:42.819Z,Cardiff,11.73,overcast clouds
2026-03-27T14:44:01.440Z,Cardiff,11.71,broken clouds
2026-03-27T16:42:45.302Z,Cardiff,11.45,overcast clouds
2026-03-27T18:43:10.688Z,Cardiff,9.64,overcast clouds
2026-03-27T20:27:37.017Z,Cardiff,8.55,overcast clouds
2026-03-27T22:22:06.814Z,Cardiff,7.05,few clouds
2026-03-28T01:16:20.672Z,Cardiff,4.33,clear sky
2026-03-28T04:11:09.103Z,Cardiff,2.6,clear sky
2026-03-28T06:45:58.711Z,Cardiff,3.17,clear sky
2026-03-28T08:28:26.310Z,Cardiff,6.96,few clouds
2026-03-28T10:22:56.818Z,Cardiff,8.79,broken clouds
2026-03-28T12:32:46.343Z,Cardiff,9.7,few clouds
2026-03-28T14:24:18.962Z,Cardiff,10.21,broken clouds
2026-03-28T16:22:28.773Z,Cardiff,10.62,broken clouds
2026-03-28T18:26:48.679Z,Cardiff,8.34,scattered clouds
2026-03-28T20:18:46.286Z,Cardiff,6.01,clear sky
2026-03-28T22:19:05.545Z,Cardiff,4.58,clear sky
2026-03-29T01:25:03.390Z,Cardiff,3.46,few clouds
2026-03-29T04:31:33.454Z,Cardiff,4.13,scattered clouds
2026-03-29T06:53:43.510Z,Cardiff,4.81,overcast clouds
2026-03-29T08:32:11.539Z,Cardiff,7.33,overcast clouds
2026-03-29T10:23:07.775Z,Cardiff,9.01,overcast clouds
2026-03-29T12:33:21.197Z,Cardiff,9.37,light rain
2026-03-29T14:25:56.780Z,Cardiff,9.03,moderate rain
2026-03-29T16:24:17.694Z,Cardiff,9.23,overcast clouds
2026-03-29T18:28:04.075Z,Cardiff,9.89,overcast clouds
2026-03-29T20:21:09.650Z,Cardiff,10.14,overcast clouds
2026-03-29T22:20:33.063Z,Cardiff,9.43,overcast clouds
2026-03-30T01:25:49.917Z,Cardiff,7.61,few clouds
2026-03-30T04:37:41.441Z,Cardiff,6.57,broken clouds
2026-03-30T07:16:08.054Z,Cardiff,6.72,broken clouds
